note,start,end
49,0.029025,0.986848
49,0.986848,1.979501
52,1.979501,2.217506
56,3.860317,3.988027
56,4.167982,4.342132
56,4.342132,5.857234
50,5.857234,5.897868
50,5.897868,6.495782
52,6.495782,6.751202
56,8.527528,8.684263
56,8.864218,10.106485
62,10.106485,10.524444
50,10.524444,10.878549
51,10.878549,10.942404
50,10.942404,11.180408
54,11.180408,11.447438
54,11.447438,11.801542
53,12.422676,12.759365
56,12.759365,12.863855
56,12.863855,12.910295
69,12.910295,13.061224
69,13.061224,13.235374
56,13.235374,13.804263
67,13.804263,15.354195
55,15.354195,16.097234
59,16.979592,17.020227
59,17.118912,17.351111
60,17.351111,17.397551
59,17.397551,19.667302
63,19.667302,21.066304
59,21.188209,21.333333
59,21.333333,21.466848
59,21.466848,21.611973
59,21.611973,22.285351
46,22.285351,23.1561
72,23.1561,24.740862
47,24.740862,25.240091
59,25.408435,25.54195
59,25.54195,25.675465
59,25.675465,25.77415
60,25.77415,25.826395
59,25.826395,25.994739
55,26.105034,26.563628
70,26.563628,27.097687
60,27.097687,27.300862
72,27.300862,27.353107
72,27.353107,27.445986
60,27.445986,27.892971
71,27.892971,28.676644
59,28.676644,29.373243
59,29.373243,29.518367
59,29.518367,29.628662
59,29.628662,29.773787
59,29.773787,29.895692
61,29.895692,30.336871
54,30.47619,30.667755
61,31.050884,31.735873
54,31.933243,32.722721
59,32.722721,32.943311
59,32.943311,33.15229
59,33.15229,33.47737
47,33.47737,33.558639
59,33.558639,33.663129
59,33.663129,33.773424
59,33.773424,33.924354
57,33.924354,34.069478
55,34.069478,34.330703
51,34.487438,34.568707
70,34.568707,34.661587
58,34.661587,34.899592
58,34.899592,35.038912
51,35.038912,35.091156
55,35.091156,35.131791
70,35.131791,35.184036
59,35.276916,35.369796
60,35.671655,35.752925
57,35.752925,35.985125
59,36.223129,36.919728
48,36.919728,37.244807
47,37.244807,37.680181
55,37.680181,38.098141
64,38.098141,40.292426
72,40.425941,41.285079
52,41.285079,42.260317
60,42.260317,42.620227
55,42.620227,43.020771
60,43.020771,43.33424
56,43.4039,43.57805
55,43.57805,43.76381
55,43.76381,43.926349
60,44.175964,44.280454
55,44.280454,44.396553
55,44.396553,44.518458
55,44.518458,44.756463
55,44.895782,45.249887
58,45.249887,45.441451
55,45.441451,45.633016
55,45.633016,46.02195
55,46.02195,46.132245
55,46.132245,46.387664
67,46.387664,46.735964
58,46.735964,46.927528
46,47.084263,47.270023
58,47.270023,47.449977
55,47.449977,47.728617
53,47.844717,47.949206
55,47.949206,48.564535
55,48.924444,49.232109
57,49.446893,49.580408
57,49.946122,50.062222
55,50.329252,50.683356
52,50.683356,50.938776
57,51.054875,51.170975
51,51.170975,51.40898
51,51.40898,51.803719
51,51.803719,52.192653
52,52.192653,52.360998
48,52.360998,52.535147
60,52.535147,52.883447
46,52.924082,53.045986
58,53.045986,53.289796
46,53.289796,53.62068
52,53.62068,53.661315
46,53.661315,54.027029
53,54.027029,54.201179
53,54.201179,54.398549
61,54.398549,54.770068
48,54.770068,54.880363
62,54.880363,54.984853
51,54.984853,55.124172
63,55.124172,55.507302
56,55.507302,55.669841
60,55.890431,56.052971
48,56.052971,56.25034
48,56.25034,56.621859
60,56.621859,56.732154
58,56.732154,56.975964
58,56.975964,57.359093
58,57.359093,57.748027
58,57.748027,57.922177
61,57.922177,58.096327
61,58.096327,58.566531
59,58.839365,58.91483
55,58.91483,59.216689
54,59.216689,59.274739
55,59.274739,59.402449
55,59.588209,59.704308
55,59.704308,59.942313
55,59.942313,60.075828
55,60.075828,60.162902
55,60.162902,60.319637
46,60.319637,60.673741
58,60.673741,60.789841
55,61.039456,61.31229
55,61.31229,61.410975
53,61.410975,61.573515
55,61.573515,61.747664
56,61.747664,62.159819
55,62.159819,62.508118
55,63.436916,63.582041
49,64.2322,64.296054
67,64.296054,65.683447
55,65.683447,67.953197
49,67.953197,68.870385
54,68.870385,69.067755
51,70.199728,70.280998
52,70.280998,71.227211
55,71.227211,71.285261
55,71.285261,72.957098
55,72.957098,73.787211
60,73.787211,76.382041
67,76.382041,76.643265
49,77.931973,78.210612
53,78.210612,78.477642
53,78.477642,78.564717
55,78.564717,78.605351
67,78.605351,79.034921
48,79.5922,79.702494
55,79.702494,79.737324
50,79.737324,79.789569
51,79.789569,79.824399
55,79.824399,80.079819
63,80.079819,80.120454
60,80.404898,80.480363
53,80.480363,81.031837
61,81.171156,81.380136
61,81.420771,81.629751
55,81.629751,81.890975
55,81.890975,82.390204
60,83.992381,84.062041
56,84.062041,84.108481
51,84.178141,84.805079
53,84.926984,85.002449
48,85.002449,85.791927
55,86.703311,87.00517
48,87.243175,87.324444
48,87.324444,87.359274
50,87.399909,87.440544
53,87.440544,88.096508
46,88.282268,88.380952
55,88.380952,89.187846
55,89.292336,89.3678
48,91.9278,91.991655
48,91.991655,92.049705
55,92.049705,92.11356
53,92.11356,92.305125
48,98.620952,98.702222
49,98.702222,98.742857
48,99.091156,99.300136